date,price,volume
2025-02-14,244.60,40896200
2025-02-18,244.47,48822500
2025-02-19,244.87,32204200
2025-02-20,245.83,32316900
2025-02-21,245.55,53197400
2025-02-24,247.10,51326400
2025-02-25,247.04,48013300
2025-02-26,240.36,44433600
2025-02-27,237.30,41153600
2025-02-28,241.84,56833400
2025-03-03,238.03,47184000
2025-03-04,235.93,53798100
2025-03-05,235.74,47227600
2025-03-06,235.33,45170400
2025-03-07,239.07,46273600
2025-03-10,227.48,72071200
2025-03-11,220.84,76137400
2025-03-12,216.98,62547500
2025-03-13,209.68,61368300
2025-03-14,213.49,60060200
